Index,Label
1,6
2,5
3,7
4,6
5,7
6,5
7,1
8,7
9,6
10,7
11,5
12,5
13,5
14,6
15,3
16,6
17,5
18,5
19,5
20,1
21,5
22,8
23,6
24,6
25,6
26,8
27,8
28,8
29,5
30,6
31,9
32,2
33,3
34,5
35,6
36,7
37,6
38,8
39,7
40,7
41,6
42,3
43,2
44,2
45,2
46,1
47,2
48,5
49,5
50,5
51,3
52,4
53,8
54,5
55,2
56,6
57,2
58,8
59,7
60,7
61,2
62,5
63,5
64,6
65,6
66,8
67,7
68,7
69,5
70,4
71,5
72,6
73,3
74,3
75,7
76,6
77,6
78,6
79,5
80,3
81,5
82,5
83,6
84,2
85,4
86,2
87,5
88,6
89,7
90,6
91,7
92,3
93,6
94,7
95,4
96,2
97,2
98,4
99,6
100,5
101,5
102,7
103,3
104,6
105,1
106,6
107,7
108,5
109,4
110,2
111,2
112,4
113,4
114,7
115,6
116,4
117,5
118,2
119,4
120,2
121,3
122,5
123,4
124,2
125,5
126,2
127,5
128,2
129,6
130,4
131,1
132,5
133,2
134,7
135,7
136,5
137,1
138,6
139,8
140,8
141,3
142,4
143,5
144,3
145,4
146,3
147,7
148,3
149,1
150,4
151,4
152,8
153,4
154,5
155,1
156,4
157,2
158,7
159,5
160,4
161,1
162,4
163,1
164,8
165,6
166,7
167,8
168,8
169,2
170,2
171,7
172,3
173,6
174,2
175,3
176,6
177,8
178,2
179,2
180,2
181,6
182,7
183,6
184,3
185,5
186,5
187,5
188,8
189,5
190,8
191,8
192,5
193,2
194,5
195,7
196,1
197,6
198,6
199,2
200,2
201,6
202,5
203,5
204,7
205,3
206,6
207,3
208,7
209,3
210,3
211,6
212,7
213,6
214,1
215,3
216,2
217,3
218,5
219,6
220,3
221,3
222,7
223,3
224,7
225,5
226,8
227,7
228,6
229,2
230,5
231,8
232,5
233,6
234,6
235,8
236,6
237,8
238,4
239,5
240,2
241,7
242,5
243,5
244,4
245,2
246,5
247,6
248,7
249,7
250,3
251,5
252,6
253,6
254,8
255,7
256,8
257,2
258,8
259,7
260,5
261,5
262,3
263,3
264,5
265,5
266,3
267,5
268,6
269,7
270,6
271,6
272,8
273,6
274,6
275,8
276,7
277,6
278,7
279,5
280,7
281,6
282,6
283,3
284,6
285,7
286,6
287,6
288,8
289,1
290,6
291,8
292,8
293,8
294,5
295,5
296,7
297,5
298,1
299,4
300,8
301,3
302,7
303,6
304,5
305,4
306,2
307,6
308,8
309,5
310,5
311,7
312,2
313,5
314,1
315,7
316,2
317,5
318,5
319,3
320,5
321,5
322,7
323,4
324,4
325,5
326,6
327,5
328,3
329,5
330,3
331,5
332,5
333,5
334,6
